stock_label,name,close,date,industry_type,open,high,low,unit,per,psr,pbr,volume,market_capitalization,issued_shares,crawl_datetime,code
6187  東証１部,ＬＩＴＡＬＩＣＯ,"2,123.0",株価(02/28),業種サービス業,"2,104.0円","2,189.0円","2,104.0円",100株,62.00倍,3.08倍,12.92倍,"165,400株","37,359百万円","17,597千株",2020-03-01T18:27:14,6187
6188  東証２部,富士ソフトサービスビューロ,318.0,株価(02/28),業種サービス業,320.0円,334.0円,315.0円,100株,9.78倍,0.37倍,1.88倍,"135,600株","4,293百万円","13,500千株",2020-03-01T18:27:16,6188
6189  東証１部,グローバルキッズＣＯＭＰＡＮＹ,592.0,株価(02/28),業種サービス業,652.0円,766.0円,575.0円,100株,4.84倍,0.27倍,0.70倍,"309,700株","5,435百万円","9,180千株",2020-03-01T18:27:17,6189
6190  東証マザーズ,フェニックスバイオ,668.0,株価(02/28),業種サービス業,710.0円,727.0円,668.0円,100株,---,1.59倍,1.27倍,"15,300株","1,959百万円","2,934千株",2020-03-01T18:27:19,6190
6191  東証１部,エアトリ,"1,133.0",株価(02/28),業種サービス業,"1,151.0円","1,174.0円","1,123.0円",100株,28.99倍,0.93倍,2.25倍,"489,300株","22,784百万円","20,109千株",2020-03-01T18:27:21,6191
6192  東証マザーズ,ハイアス・アンド・カンパニー,201.0,株価(02/28),業種サービス業,197.0円,209.0円,197.0円,100株,18.82倍,0.76倍,3.44倍,"209,100株","4,691百万円","23,338千株",2020-03-01T18:27:23,6192
6193  東証マザーズ,バーチャレクス・ホールディングス,665.0,株価(02/28),業種サービス業,660.0円,665.0円,640.0円,100株,94.19倍,0.31倍,1.98倍,"120,500株","1,957百万円","2,943千株",2020-03-01T18:27:25,6193
6194  東証１部,アトラエ,"2,322.0",株価(02/28),業種サービス業,"2,385.0円","2,471.0円","2,298.0円",100株,60.92倍,9.55倍,7.89倍,"174,800株","30,860百万円","13,290千株",2020-03-01T18:27:26,6194
6195  東証マザーズ,ホープ,"1,634.0",株価(02/28),業種サービス業,"1,719.0円","1,746.0円","1,607.0円",100株,120.56倍,2.35倍,17.29倍,"188,300株","9,112百万円","5,576千株",2020-03-01T18:27:28,6195
6196  東証１部,ストライク,"4,025.0",株価(02/28),業種サービス業,"4,090.0円","4,160.0円","4,010.0円",100株,57.61倍,15.34倍,15.09倍,"120,300株","77,900百万円","19,354千株",2020-03-01T18:27:30,6196
